endTime,artistName,trackName,msPlayed
2020-12-15 19:13,Lil Baby,Close Friends (Lil Baby & Gunna),42133
2020-12-15 19:15,Young Thug,Digits,135186
2020-12-15 19:16,Internet Money,"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",79435
2020-12-15 21:57,Lil Baby,Close Friends (Lil Baby & Gunna),17159
2020-12-15 21:57,Internet Money,"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",8010
2020-12-15 21:58,Young Thug,Digits,34504
2020-12-15 22:01,Migos,Higher We Go - Intro,6061
2020-12-15 22:01,Internet Money,"Lost Me (feat. Lil Mosey, iann dior & Lil Skies)",178329
2020-12-15 22:01,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",2043
2020-12-15 22:01,Tory Lanez,Broke In A Minute,7314
2020-12-15 22:01,Offset,Wild Wild West (feat. Gunna),1602
2020-12-15 22:03,Future,Crushed Up,149948
2020-12-15 22:04,Drake,Summer Sixteen,20115
2020-12-15 22:04,Trippie Redd,Death (feat. DaBaby),7871
2020-12-15 22:04,Rae Sremmurd,Look Alive,1904
2020-12-15 22:08,Future,Ain't Livin Right (feat. Gunna),1996
2020-12-15 22:08,Big Sean,Pull Up N Wreck (& Metro Boomin),227533
2020-12-15 22:08,Travis Scott,NC-17,17926
2020-12-15 22:12,Juice WRLD,I'll Be Fine,244193
2020-12-15 22:12,iann dior,molly,6489
2020-12-15 22:13,Sam Feldt,Post Malone (feat. RANI),2205
2020-12-15 22:13,Lil Baby,Woah,57028
2020-12-15 22:13,Yung Gravy,"Gasoline, Pt. 2",1509
2020-12-15 22:14,Lil Uzi Vert,Sauce It Up,65039
2020-12-16 03:09,Tee Grizzley,2 Vaults (feat. Lil Yachty),1151
2020-12-16 03:09,Smokepurpp,Dirty Dirty (feat. Lil Skies),810
2020-12-16 03:09,Future,Hard Work Pays Off,746
2020-12-16 03:09,Lil Uzi Vert,Sauce It Up,70698
2020-12-16 03:09,Lil Uzi Vert,Prices,1749
2020-12-16 03:09,Future,Afterlife,917
2020-12-16 03:09,Jack Harlow,WHATS POPPIN,1066
2020-12-16 03:09,Machine Gun Kelly,Trap Paris (feat. Quavo & Ty Dolla $ign),1237
2020-12-16 03:09,Gucci Mane,Both (feat. Drake),3136
2020-12-16 03:09,Lil Uzi Vert,Canadian Goose,789
2020-12-16 03:10,Future,Hard Work Pays Off,78933
2020-12-16 03:20,Future,Hard Work Pays Off,225621
2020-12-16 03:27,Tee Grizzley,2 Vaults (feat. Lil Yachty),35407
2020-12-16 03:31,Curren$y,The Count (feat. Wiz Khalifa),194594
2020-12-16 03:34,Phil Adé,No Fear,222273
2020-12-16 03:37,Kris Wu,Deserve (feat. Travis Scott),182837
2020-12-16 03:41,Jaden,SOHO,208493
2020-12-16 03:44,Mac Miller,That's Life (feat. Mac Miller & Sia),202390
2020-12-16 03:48,Yung Gravy,Yung Gravity,256750
2020-12-16 03:52,Roy Woods,Drama (feat. Drake),251859
2020-12-16 03:56,Lil Uzi Vert,20 Min,220586
2020-12-16 04:01,Wiz Khalifa,"Taylor Life (feat. Sosamann) [Produced by Statik Selektah, Co-Produced by Dreamlife Beats]",41183
2020-12-16 04:01,Lil Baby,Close Friends (Lil Baby & Gunna),203881
2020-12-16 04:05,Jaden,On My Own,244719
2020-12-16 04:09,Takeoff,Infatuation,221892
2020-12-16 04:13,Roddy Ricch,High Fashion (feat. Mustard),220486
2020-12-16 04:17,Offset,Red Room,241440
